"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0xe4e4fe625e369078807f3645dbcc3cfbc6088c6b4f2e1215cf00f76c71abe164","3980733","1499306421","7/6/2017 2:00:21 AM","0xa16ba68474b5d593979c78a4b250d033e5e48e2a","0x62eae029fe829fc66c953fa67e15761c941e23ce","2500000"
"0x4dd73fa5917cd786f557d607cc98e13303a50213a239aa7e1c0e023c6a06e878","3980985","1499310566","7/6/2017 3:09:26 AM","0x62eae029fe829fc66c953fa67e15761c941e23ce","0x6a6ac5611544fe3a1fccb374703075eb50e9f67b","5"
"0x3146f3236f105ec4da3982667527477eac5a5a0b1ebeb68136ccec21517b7446","3981050","1499311614","7/6/2017 3:26:54 AM","0x6a6ac5611544fe3a1fccb374703075eb50e9f67b","0x62eae029fe829fc66c953fa67e15761c941e23ce","2"
"0x597082bdebdfc83c4777017d81ae5ab983ba4abc380398576550e5d95be3ce46","3981183","1499313916","7/6/2017 4:05:16 AM","0x62eae029fe829fc66c953fa67e15761c941e23ce","0x6a6ac5611544fe3a1fccb374703075eb50e9f67b","2"
"0x03a7ecd5a8b9ce823e27baa8fabceee5cf97d08983f923282527defbf03cf0b5","3981878","1499325629","7/6/2017 7:20:29 AM","0xeb68aa2764b4a9a943658b2e61db4c902b2ebf85","0x8e3a5f49e881313c904403c8e8fe4b3a734a3fcc","1"
"0x6a10a418b8ca1409c719d857b8c75c862eee2c1088c6b7cc45b29dc3d7621177","3982028","1499328065","7/6/2017 8:01:05 AM","0xeb68aa2764b4a9a943658b2e61db4c902b2ebf85","0xe309af672ff517f1889514947d4ffb881ea964e5","1"
"0x808920977b468480cab3dde0ee344ae114ea3ca5805dc5effefc5d9eaedb6296","3982030","1499328081","7/6/2017 8:01:21 AM","0xeb68aa2764b4a9a943658b2e61db4c902b2ebf85","0xb9b4f545defb6428e428b0525c81ffa570f54293","1"
"0x5dda1df34173ab71098272c14119f790b848dabcef591076dc2e63b50599b04d","3982114","1499329737","7/6/2017 8:28:57 AM","0xeb68aa2764b4a9a943658b2e61db4c902b2ebf85","0x8e3a5f49e881313c904403c8e8fe4b3a734a3fcc","365198.017"
"0x6116415778ad9b759e99dc144ed9d7e05689559ec3353744cdadc32504fdcd2b","3982128","1499330007","7/6/2017 8:33:27 AM","0xeb68aa2764b4a9a943658b2e61db4c902b2ebf85","0xe309af672ff517f1889514947d4ffb881ea964e5","365198.017"
"0x909461f907a710b887f8d2ef835393039e838679537dfede277b7fe13b7bcfdc","3982128","1499330007","7/6/2017 8:33:27 AM","0xeb68aa2764b4a9a943658b2e61db4c902b2ebf85","0xb9b4f545defb6428e428b0525c81ffa570f54293","365198.017"
"0x3d82b297047641db544745cc7d9b3d258d49d0785cd2aeb27932fd21e180d674","3983361","1499349994","7/6/2017 2:06:34 PM","0xeb68aa2764b4a9a943658b2e61db4c902b2ebf85","0x2551d2357c8da54b7d330917e0e769d33f1f5b93","1"
"0x481f21381bc545080d8c7ec4d83a33f22e4071f69f07ede436a324b085592bf2","3983452","1499351914","7/6/2017 2:38:34 PM","0x2551d2357c8da54b7d330917e0e769d33f1f5b93","0xeb68aa2764b4a9a943658b2e61db4c902b2ebf85","1"
"0xb1ea3baab60bc7a1cf819599f42cd024d7a3bfaa3f4abebe16eab76eab023748","3988177","1499433838","7/7/2017 1:23:58 PM","0xeb68aa2764b4a9a943658b2e61db4c902b2ebf85","0xc9222be1574a509f258740c739f8a051f6e738bd","1"
"0xa1b843981b43e9971d2f307b3d9fcc6dad2298d6999683819f739ed97cbd2994","3988276","1499435415","7/7/2017 1:50:15 PM","0xc9222be1574a509f258740c739f8a051f6e738bd","0xeb68aa2764b4a9a943658b2e61db4c902b2ebf85","1"
"0x541ae3f45b1221c04ff44c00fe1954962f82d389ebd2c1ddfd1dc78d244fcacf","3990934","1499480799","7/8/2017 2:26:39 AM","0xa16ba68474b5d593979c78a4b250d033e5e48e2a","0x5946d24a2bb9fb2e0cc808e70a0cc838b33b023c","1"
