"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0x0625a0b27f5af4311f321ab8260c88f9a3f51c2ba2d352af2bf8c870cf29b397","4064576","1500854468","7/24/2017 12:01:08 AM","0x01167bdafaf201b16b4a70750a98a2ca1651beba","0x1151314c646ce4e0efd76d1af4760ae66a9fe30f","3303.72"
"0xf9ff85c1e3889edf9822693b77cc47ebc0bc42774317aa04c953d1a3f3c91507","4064576","1500854468","7/24/2017 12:01:08 AM","0x840976a63a8dc098db0f54257c4f3dbea3378dab","0x9b6d91e3a111ad7e8c9900be09750b891a7bcc34","10"
"0x53fcaf1ac407bbb75e05030fb619199b9e274ff1dad922b1cf077e1778da6dc7","4064576","1500854468","7/24/2017 12:01:08 AM","0xb7716071e13c7d931a8824dee7d2f5f5bdae52c6","0x79f2d0bc2212b8b5aa8e397f3365f05387b0f6a5","500.5"
"0xf36f66dabadd6c1e76107523f867b1c7f04bc02b056241d97d3f44a81e8bf6c4","4064579","1500854517","7/24/2017 12:01:57 AM","0x1151314c646ce4e0efd76d1af4760ae66a9fe30f","0x8f81085f33f91379b01069e64896a841f555ae8f","5222.07863642"
"0x916d4c25fa9136f071fd28920cfcfb6d44dac4d6454c4056dddbc04a3552b870","4064580","1500854560","7/24/2017 12:02:40 AM","0xa7a8182ae791cfdf3c134c21110cd4b4a3f2a935","0x8737305011408648c0c2fc6ff831d566fbaac483","499.99"
"0x1a8fcb4dafa20dec9ecf843cf6e5b8e44891f058929a06ce25c642c61a18d4f4","4064581","1500854584","7/24/2017 12:03:04 AM","0x1151314c646ce4e0efd76d1af4760ae66a9fe30f","0x9a82cae6e66bf4b9fd9dd71c080ae1ed82f2c4b1","302.06977239"
"0x54163b8ed7b71193d89bda02bd54c228fe0b27d723492f5ec4cd23ea1c9e5cf7","4064584","1500854648","7/24/2017 12:04:08 AM","0x138b965d1d97d9439d552ff16e301c99b899dd16","0x93cf6158328f2814982f5bbf0555cfb86d2d948f","15000"
"0x175c6e7057fe4dfe5511d72dea862ad0e443f5e41c320781a40d3aa3d13eb532","4064585","1500854654","7/24/2017 12:04:14 AM","0x470d87fe317af50486a4f1e0a894c515c9b21553","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98","997"
"0xb9665e8ce866c37846a549339295e6366925456b5af2a691b3dc39f8703f764b","4064591","1500854796","7/24/2017 12:06:36 AM","0x79f2d0bc2212b8b5aa8e397f3365f05387b0f6a5","0x8737305011408648c0c2fc6ff831d566fbaac483","500.5"
"0x73eda65b040a52a707a46067a54a38e7c74e46da43db5b4f0567c8ef42ba6103","4064591","1500854796","7/24/2017 12:06:36 AM","0x8f81085f33f91379b01069e64896a841f555ae8f","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98","5222.07863642"
"0x14c42990834f487799d23e49a6e59e746fccfb7debe63adaf98e2047169a154f","4064591","1500854796","7/24/2017 12:06:36 AM","0x93cf6158328f2814982f5bbf0555cfb86d2d948f","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98","15000"
"0xe9ab00f18168ab682c8ff33737698471e0ad8b42139db7c347328bde56cf00e3","4064593","1500854900","7/24/2017 12:08:20 AM","0x26d20b48fea0030245e14474f6e8b2fec069bd73","0x0b7c8e7e22badd54d9b5e19a5b394939f638ca9b","1"
"0x13b85666c9336e3488a807c60aa152d7dbad03a0626293492e106780f1cf88de","4064606","1500855063","7/24/2017 12:11:03 AM","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98","0x6119e1a4c232548d94024d98f560b40ef5e08bb5","14.82938235"
"0x0a4c27816d23602ae8fe973059cfb8031c43ea7b434c6864b09dc6bc27511cec","4064612","1500855114","7/24/2017 12:11:54 AM","0xda297f65522d40d21445488b967c2dd44fbbdb4b","0x9860fd0703d285a60bd6a521799d6064f1dcada5","100"
"0xc06cfbe7bf7a8668d8cb84fb7297ba7f70d75c572e276970ffa177502050fdb7","4064617","1500855234","7/24/2017 12:13:54 AM","0x0b7c8e7e22badd54d9b5e19a5b394939f638ca9b","0x1151314c646ce4e0efd76d1af4760ae66a9fe30f","1"
"0x612f6469e80fbea8601045b5331e3ec7f020ce256b65f69563f5521b8e757edc","4064617","1500855234","7/24/2017 12:13:54 AM","0x8737305011408648c0c2fc6ff831d566fbaac483","0x8b3262555a88ec5b6f499675d6944064a9b9bfc6","808.25501883976"
