date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-10-12,10345415.402,3300,910544000.0,9.26,49996900.0,3134,
2017-10-13,14465716.55,3703,805549000.0,8.19,33908900.0,3487,
2017-10-14,11409737.4959,3306,816802000.0,8.31,20284600.0,2999,
2017-10-15,11417816.9823,3740,789379000.0,8.03,23508300.0,3251,
2017-10-16,96908394.9056,3536,786681000.0,8.0,19951300.0,3119,
2017-10-17,30922361.0191,5838,772486000.0,7.86,23177500.0,4880,
2017-10-18,9997897.43347,3867,783502000.0,7.97,20915200.0,3342,
2017-10-19,9574373.71161,3355,769045000.0,7.82,14064200.0,3077,
2017-10-20,16786716.7838,3726,776825000.0,7.9,20554400.0,3311,
2017-10-21,9123306.77424,4017,718401000.0,7.31,19448800.0,3523,
2017-10-22,8670459.58993,3478,724177000.0,7.37,19588000.0,3149,
2017-10-23,8084689.73478,3494,752139000.0,7.65,17684200.0,3072,
2017-10-24,17361549.8716,5413,746181000.0,7.59,54151300.0,4690,
2017-10-25,9028291.57659,3290,798130000.0,8.12,20363000.0,2992,
2017-10-26,7865268.77679,3090,752636000.0,7.66,19134300.0,2808,
2017-10-27,10927686.7417,3316,751745000.0,7.65,28704900.0,2979,
2017-10-28,10681023.4678,2977,736331000.0,7.49,17242600.0,2694,
2017-10-29,11074539.5649,3693,703486000.0,7.16,18076000.0,3294,
2017-10-30,8936975.04313,3242,715973000.0,7.28,14224900.0,2970,
2017-10-31,14076064.9006,3950,710488000.0,7.23,21797300.0,3556,
2017-11-01,25208967.3117,6035,671068000.0,6.83,37953700.0,5152,
2017-11-02,18811848.5878,6137,594839000.0,6.05,55264500.0,5255,
2017-11-03,10641468.2526,4004,612383000.0,6.23,27548300.0,3505,
2017-11-04,7336396.1878,3033,660838000.0,6.72,16963100.0,2722,
2017-11-05,7275426.72776,2837,633214000.0,6.44,12819400.0,2532,
2017-11-06,8329357.82157,3202,617414000.0,6.28,21223900.0,2727,
2017-11-07,10576120.5977,3324,665398000.0,6.52,17428900.0,2928,
2017-11-08,16312573.3155,5440,646493000.0,6.34,83658200.0,4845,
2017-11-09,22570745.0411,6664,782537000.0,7.67,53112900.0,5615,
2017-11-10,13494755.7224,5087,820786000.0,8.04,43885700.0,4421,
2017-11-11,8300250.04212,3596,713386000.0,6.99,26845400.0,3229,
2017-11-12,21000822.2566,5128,743945000.0,7.29,40913300.0,4430,
2017-11-13,22453418.7678,4917,673886000.0,6.6,45628000.0,4133,
2017-11-14,19738074.8564,4119,770372000.0,7.55,25075600.0,3687,
2017-11-15,9443156.28577,3286,803044000.0,7.87,29403800.0,3259,
2017-11-16,51133795.0034,3294,787988000.0,7.72,25723800.0,3109,
2017-11-17,10337417.4787,2852,727192000.0,7.13,28740500.0,2789,
2017-11-18,15682751.6102,5210,784918000.0,7.69,61839300.0,4500,
2017-11-19,12463854.8119,4383,809283000.0,7.93,27424000.0,3907,
2017-11-20,18163237.8053,4550,795924000.0,7.8,25838900.0,4148,
2017-11-21,18072796.741,4343,824262000.0,8.08,28377000.0,4007,
2017-11-22,10547436.1738,4010,783236000.0,7.68,23540600.0,3771,
2017-11-23,15223180.8671,4251,814275000.0,7.98,29220900.0,3933,
2017-11-24,13064053.1938,3604,785544000.0,7.7,25535100.0,3432,
2017-11-25,18074238.2177,5695,775940000.0,7.6,68154900.0,4907,
2017-11-26,14087951.9961,4929,891835000.0,8.74,35970800.0,4444,
2017-11-27,17103257.0688,5565,869721000.0,8.52,54701200.0,4970,
2017-11-28,23353418.535,5984,967855000.0,9.48,60471100.0,5433,
2017-11-29,30360164.7396,6845,961128000.0,9.42,68267600.0,6091,
2017-11-30,21056167.3581,4616,811384000.0,7.95,46661000.0,4197,
2017-12-01,14656377.9151,3883,828272000.0,8.12,45778600.0,3545,
2017-12-02,22644373.0041,4711,905896000.0,8.88,49352400.0,4299,
2017-12-03,30013794.4707,6503,949255000.0,9.3,53617600.0,5827,
2017-12-04,12508177.2877,3982,961222000.0,9.42,51229800.0,3760,
2017-12-05,14315284.0439,2539,1062170000.0,10.41,63711700.0,2647,
2017-12-06,20325365.6844,3758,1031440000.0,10.11,64531900.0,3253,
2017-12-07,16241735.6268,2825,879842000.0,8.62,54413600.0,2708,
2017-12-08,17390442.3386,4645,804182000.0,7.88,54457900.0,4462,
2017-12-09,25304332.2224,4270,860261000.0,8.43,41798400.0,4281,
2017-12-10,17788664.4521,3750,877014000.0,8.59,34660500.0,3970,
2017-12-11,18083660.546,3633,811623000.0,7.95,47554300.0,3702,
2017-12-12,29163280.4046,7465,926009000.0,9.07,116442000.0,6603,
2017-12-13,39623875.3369,4904,1056770000.0,10.36,110463000.0,4281,
2017-12-14,35196763.4693,4398,1091600000.0,10.7,95547300.0,3924,
2017-12-15,25288789.1072,4114,1168260000.0,11.45,77923700.0,3845,
2017-12-16,83908047.3397,7342,1207840000.0,11.84,316999000.0,6355,
2017-12-17,41777433.6817,6249,1447690000.0,14.19,197259000.0,5749,
2017-12-18,56545993.4052,6571,1653590000.0,16.2,216024000.0,5705,
2017-12-19,60594648.042,7196,1887880000.0,18.5,247996000.0,6383,
2017-12-20,42035361.3471,5398,1856030000.0,18.19,178069000.0,4802,
2017-12-21,36888540.715,6080,1823820000.0,17.87,127590000.0,5788,
2017-12-22,84662156.0008,7095,1789150000.0,17.53,210269000.0,5585,
2017-12-23,36478422.2502,6175,1342480000.0,13.16,106232000.0,5414,
2017-12-24,41818825.9002,5101,1482550000.0,14.53,87459300.0,4401,
2017-12-25,26750830.9896,4707,1483620000.0,14.54,91485300.0,3823,
2017-12-26,27726669.9657,4553,1591610000.0,15.6,89081800.0,3904,
2017-12-27,25578352.7282,4660,1555920000.0,15.25,65350300.0,4021,
2017-12-28,18218571.0721,4099,1530370000.0,15.0,69410700.0,3660,
2017-12-29,29291781.7287,4922,1547150000.0,15.16,121258000.0,4341,
2017-12-30,30271742.245,4216,1627310000.0,15.95,124915000.0,3871,
2017-12-31,61577838.6218,6214,1634170000.0,16.01,349531000.0,5277,
2018-01-01,98550513.0043,6364,1999550000.0,19.6,166860000.0,5801,
2018-01-02,36129653.1119,6479,1973980000.0,19.34,229553000.0,5729,
2018-01-03,42434521.2765,5768,2055970000.0,20.15,139039000.0,5362,
2018-01-04,24136051.7511,4741,2101860000.0,20.6,150260000.0,4652,
2018-01-05,16770980.2005,3108,2021050000.0,19.81,138393000.0,3408,
2018-01-06,28328893.0186,5213,1908510000.0,18.7,99421600.0,5118,
2018-01-07,65677760.1102,7224,1970170000.0,19.31,250609000.0,6319,
2018-01-08,77621682.2602,8086,2489290000.0,24.39,382895000.0,7040,
2018-01-09,41343146.2587,5993,2432850000.0,23.84,191509000.0,5547,
2018-01-10,34487560.1929,5380,2591750000.0,25.4,137934000.0,5182,
2018-01-11,45268412.1027,5491,2393480000.0,23.46,122602000.0,5072,
2018-01-12,23466086.916,4610,2214090000.0,21.7,83835500.0,4529,
2018-01-13,30836289.1595,5139,2329570000.0,22.83,120921000.0,4860,
2018-01-14,27038589.5731,4155,2624620000.0,25.72,74017300.0,4251,
2018-01-15,26899841.7555,3882,2418190000.0,23.7,91802400.0,3745,
2018-01-16,37419731.1239,4940,2296440000.0,22.5,132224000.0,4612,
2018-01-17,38283478.3174,5198,1765470000.0,17.3,114904000.0,4763,
2018-01-18,31508632.6215,4083,1860280000.0,18.23,87971600.0,3832,
2018-01-19,32201529.7947,3321,1798360000.0,17.62,72477800.0,3131,
2018-01-20,29424205.8184,4239,1901100000.0,18.63,89103800.0,3998,
2018-01-21,39503603.6564,3235,2013840000.0,19.74,55861100.0,2976,
2018-01-22,28167006.8462,3021,1748670000.0,17.14,70101200.0,2692,
2018-01-23,21203683.8029,3231,1597700000.0,15.66,58931400.0,2927,
2018-01-24,19590770.9525,3482,1637570000.0,16.05,72241700.0,2977,
2018-01-25,31769176.9658,3080,1841760000.0,18.05,79337500.0,2703,
2018-01-26,71753784.1534,4671,1829140000.0,17.93,145709000.0,3216,
2018-01-27,49491883.7859,3608,1693910000.0,16.6,99130000.0,2917,
2018-01-28,36089564.1407,4413,1638530000.0,16.06,83798900.0,3598,
2018-01-29,23087016.104,3108,1750090000.0,17.15,46635600.0,2859,
2018-01-30,32876703.7185,4037,1723530000.0,16.89,96893300.0,3379,
2018-01-31,22626883.0209,3178,1520480000.0,14.9,71504300.0,2842,
2018-02-01,25653133.3871,3142,1617380000.0,15.85,60157800.0,2757,
2018-02-02,35565539.6417,3413,1425460000.0,13.97,62454300.0,2880,
2018-02-03,10006660.9967,2479,1362480000.0,13.35,31593400.0,2365,
2018-02-04,21993489.8256,2356,1437590000.0,14.09,36225800.0,2142,
2018-02-05,17879092.6015,3501,1216630000.0,11.92,45236500.0,3169,
2018-02-06,14170987.1495,3468,949742000.0,9.31,56968000.0,3000,
2018-02-07,20893669.4366,2782,1155150000.0,11.32,36639600.0,2378,
2018-02-08,7397892.33295,1501,1110480000.0,10.88,31563700.0,1513,
2018-02-09,18842161.4417,2010,1246080000.0,12.21,41973800.0,1879,
2018-02-10,14144025.9688,3097,1346830000.0,13.2,43385500.0,2681,
2018-02-11,8696816.62661,2292,1279750000.0,12.54,29981600.0,2063,
2018-02-12,12232740.5972,2866,1219240000.0,11.95,24588600.0,2691,
2018-02-13,10160671.8892,2208,1314360000.0,12.88,23326000.0,2020,
2018-02-14,15276087.1315,3481,1323570000.0,12.97,91650800.0,2777,
2018-02-15,17948301.9796,4120,1594790000.0,15.63,54142700.0,2444,
2018-02-16,22799743.6396,5969,1701370000.0,16.67,81337500.0,2443,
2018-02-17,18705694.5328,6805,1853770000.0,18.17,59295600.0,2198,
2018-02-18,23971631.5611,8202,1869770000.0,18.32,42287800.0,1836,
2018-02-19,25585934.7141,9681,1682870000.0,16.49,54814700.0,1854,
2018-02-20,28993906.3417,9311,1808000000.0,17.72,109202000.0,2490,
2018-02-21,18625269.2456,3163,1869530000.0,18.32,110798000.0,2899,
2018-02-22,15252514.628,2552,1842340000.0,18.05,65150100.0,2234,
2018-02-23,14263433.7656,2396,1687410000.0,16.54,63981000.0,2122,
2018-02-24,12371900.9649,2119,1786500000.0,17.51,51605900.0,1899,
2018-02-25,13223042.499,1878,1706350000.0,16.72,36436400.0,1739,
2018-02-26,13897817.6142,2200,1711420000.0,16.77,37163300.0,1978,
2018-02-27,29410199.9413,4176,1837970000.0,18.01,114453000.0,3268,
2018-02-28,23305495.6915,3333,2054370000.0,20.13,108895000.0,2996,
2018-03-01,17469252.2586,2664,1899330000.0,18.61,67000600.0,2433,
2018-03-02,16737267.7015,2238,1958280000.0,19.19,50691600.0,2017,
2018-03-03,12912393.189,2139,1889880000.0,18.52,49308100.0,2011,
2018-03-04,9855727.54841,1935,1824380000.0,17.88,39416700.0,1833,
2018-03-05,12240801.8493,2205,1832480000.0,17.96,39490400.0,1984,
2018-03-06,10714919.6069,1893,1755260000.0,17.2,38911600.0,1825,
2018-03-07,10688024.3549,2068,1619230000.0,15.87,52446000.0,1945,
2018-03-08,13698410.2982,2701,1476880000.0,14.47,41855800.0,2312,
2018-03-09,17821552.1893,2703,1400490000.0,13.72,59857400.0,2276,
2018-03-10,13465493.696,2021,1531680000.0,15.01,44982900.0,1838,
2018-03-11,9006385.42901,1617,1368720000.0,13.41,30486600.0,1529,
2018-03-12,6073467.47337,1460,1496030000.0,14.66,23439900.0,1521,
2018-03-13,12414317.7952,1812,1401840000.0,13.74,24721000.0,1593,
2018-03-14,13296018.8228,1742,1388970000.0,13.61,28942400.0,1587,
2018-03-15,18801445.1168,2233,1193950000.0,11.7,44593200.0,1922,
2018-03-16,7276692.02743,1496,1155630000.0,11.32,28698800.0,1295,
2018-03-17,11251058.2248,1526,1145240000.0,11.22,30985800.0,1405,
2018-03-18,20611940.0403,2324,1002780000.0,9.83,39837300.0,2191,
2018-03-19,6987044.42661,1534,1073390000.0,10.52,42172600.0,1475,
2018-03-20,6600609.22872,1498,1177690000.0,11.54,46839900.0,1417,
2018-03-21,13090526.8098,1896,1240030000.0,12.15,33733200.0,1789,
2018-03-22,6902954.65903,1387,1210440000.0,11.86,36755900.0,1292,
2018-03-23,7977714.2379,1673,1177000000.0,11.53,30954000.0,1591,
2018-03-24,6268873.64193,1298,1182370000.0,11.59,29693200.0,1180,
2018-03-25,4121630.76508,1049,1125300000.0,11.03,21690300.0,1018,
2018-03-26,8087419.57993,1496,1108810000.0,10.87,31909400.0,1321,
2018-03-27,8215097.16428,1467,1054600000.0,10.33,23759900.0,1347,
2018-03-28,4989091.33589,1632,994676000.0,9.75,20930600.0,1564,
2018-03-29,9194615.83735,1470,993020000.0,9.73,34338700.0,1290,
2018-03-30,9566497.94548,1498,860625000.0,8.43,31776100.0,1339,
2018-03-31,4961967.24518,974,845158000.0,8.28,21296300.0,948,
2018-04-01,6512781.1277,1266,839396000.0,8.23,24526400.0,1077,
2018-04-02,8146848.15079,1609,828519000.0,8.12,48495000.0,1326,
2018-04-03,7373541.58757,1411,897043000.0,8.79,38323300.0,1288,
2018-04-04,7739615.40903,1340,969027000.0,9.5,29824900.0,1224,
2018-04-05,16034303.5386,2305,841195000.0,8.24,86820000.0,1790,
2018-04-06,16693211.156,2173,905815000.0,8.88,63649300.0,1696,
2018-04-07,5846606.25424,1279,948027000.0,9.29,31193800.0,1132,
2018-04-08,6079642.71153,1127,958483000.0,9.39,22099000.0,1032,
2018-04-09,6308978.75458,1211,977606000.0,9.58,29849700.0,1069,
2018-04-10,9491562.26481,1133,928326000.0,9.1,28200500.0,1120,
2018-04-11,7196135.31975,1340,942658000.0,9.24,37589500.0,1181,
2018-04-12,21527154.7513,2936,1000000000.0,9.8,119743000.0,2147,
2018-04-13,50499200.0581,5121,1228500000.0,12.04,349809000.0,3784,
2018-04-14,18167861.0174,2418,1324710000.0,12.98,109430000.0,2006,
2018-04-15,12069518.8432,1946,1416300000.0,13.88,68222200.0,1710,
2018-04-16,27316541.3295,3091,1439000000.0,14.1,222730000.0,2348,
2018-04-17,43699009.981,3559,1567260000.0,15.36,151960000.0,2736,
2018-04-18,16507364.2493,2256,1486150000.0,14.56,84420300.0,1902,
2018-04-19,22472739.0967,2502,1533030000.0,15.02,125155000.0,2025,
2018-04-20,20071275.8701,2617,1603700000.0,15.72,126297000.0,2154,
2018-04-21,18921458.5561,2231,1659940000.0,16.27,91124800.0,1875,
2018-04-22,25580254.8567,2126,1567940000.0,15.37,57141600.0,2038,
2018-04-23,11119118.6911,1989,1549990000.0,15.19,58387200.0,1837,
2018-04-24,39258211.1893,3991,1616380000.0,15.84,153865000.0,3043,
2018-04-25,27913859.0789,3101,1841680000.0,18.05,122642000.0,2319,
2018-04-26,178742516.166,21518,1604070000.0,15.72,675098000.0,17983,
2018-04-27,25094858.8718,3078,1854270000.0,18.17,143819000.0,2442,
2018-04-28,83157203.861,2001,1771260000.0,17.36,79047200.0,1847,
2018-04-29,20558294.0787,2667,1844700000.0,18.08,93513700.0,2330,
2018-04-30,18795709.9859,2669,1841910000.0,18.05,68967800.0,2409,
2018-05-01,12893489.028,1829,1733210000.0,16.99,58684400.0,1666,
2018-05-02,10676755.8915,2066,1730960000.0,16.96,73425100.0,1903,
2018-05-03,34742912.375,3127,1759150000.0,17.24,134737000.0,2349,
2018-05-04,19107816.0336,2205,1855550000.0,18.18,70046500.0,1982,
2018-05-05,15392463.4903,2067,1816630000.0,17.8,55580400.0,1967,
2018-05-06,11915157.5772,1690,1775490000.0,17.4,45342000.0,1579,
2018-05-07,12282781.2824,1490,1726470000.0,16.92,51355400.0,1451,
2018-05-08,13786464.6834,1580,1702000000.0,16.68,43030100.0,1496,
2018-05-09,14520937.025,1741,1636780000.0,16.04,48365400.0,1578,
2018-05-10,14514027.442,1659,1651460000.0,16.18,45211900.0,1554,
2018-05-11,13047976.3614,1633,1561140000.0,15.3,58339000.0,1358,
